personid,expgroup,performance,performance_pre,age,tenure,grosswage,children,commute,married
3906,1,.28289628,.084573008,33,96,2.7375467,1,180,1
4122,1,.73823762,.00044988259,30,94,4.0962458,0,180,0
4448,0,.47159928,.45590964,35,92,4.2692962,1,100,1
4942,1,-.25370544,.91850978,27,82,5.2953954,0,160,1
5018,1,-.60636842,-.37744349,29,82,1.3875899,1,240,1
5560,2,1.3322728,.91354454,29,79,4.420188,1,50,1
5614,1,.42784104,.36998031,32,79,3.8260088,0,80,1
5784,2,-2.081949,-1.8467853,31,78,2.9404178,0,160,0
6162,2,.74584556,.5602625,31,77,3.8107321,0,120,0
6278,0,-.10181741,-.040052831,32,77,2.9187889,1,170,1
6300,2,-1.1805261,.29836714,33,76,3.3604422,0,80,0
6342,2,-.44975623,-.023077782,30,76,3.923372,1,120,1
6344,2,1.4397861,.42475712,27,76,4.5168571,1,120,1
6362,0,-.62006259,.65531898,29,82,4.8947082,1,200,1
6364,0,-.15948412,1.4090424,26,82,6.2207456,1,180,1
7068,0,-.98519993,.27069876,28,72,4.3418241,0,40,1
7076,0,.27197054,.0015328284,30,72,2.66415,1,120,1
7132,2,-.40577629,-.19435909,22,72,3.6314757,0,50,0
7184,2,1.0918878,1.5682608,27,71,4.2302675,0,120,1
7454,2,-.47617832,-.22397614,24,70,2.0513732,0,85,1
7488,1,1.2493356,.45098305,25,70,3.0722089,0,240,0
7720,0,-.44645497,-.68709767,25,70,3.0483878,0,180,0
8522,0,.048102301,.23950015,30,66,4.1922421,1,120,1
8834,0,.84048772,.32067874,22,66,3.6427166,0,60,0
8854,1,.96376872,.65077931,22,66,4.2592611,0,60,0
8980,1,-1.132902,-.031765454,25,65,1.9734234,0,120,0
9070,2,1.1879385,.82980877,23,66,4.0421543,0,60,0
9106,2,-1.3755672,-1.3841063,23,25,3.6806667,0,20,0
9460,2,.41981685,1.2603998,23,65,5.8756423,0,40,0
9710,0,-.0594288,-.7188639,33,64,3.9029267,0,120,1
10024,2,.45094585,.37736371,26,63,3.3279943,1,230,1
10098,0,-1.0678972,.076348521,28,63,4.3152037,1,180,1
10226,1,-.18998504,-.25819916,22,62,3.3343222,0,60,0
10356,1,.16630831,.2486563,27,62,3.7967179,0,60,0
10450,2,-1.6787047,-1.1108553,27,61,4.5207467,0,180,0
10794,1,1.1161209,1.0376455,32,60,4.1691942,1,120,1
10822,1,1.2743901,.60906583,26,60,2.9962699,0,70,1
10868,2,-.59338403,-2.2348683,30,60,1.4717622,1,130,1
11348,0,-.8844313,-.84507102,25,59,2.7525179,1,120,1
11362,2,-.61242259,.45027253,27,59,3.9455733,1,180,1
11390,0,.54051858,.87652707,31,59,4.7715454,0,60,1
11582,2,-.83969444,-.41945389,22,58,3.71543,0,50,0
11814,2,.86835694,.99927545,24,58,5.9308381,0,50,0
11868,1,-.46452656,.15984595,30,57,2.7679133,0,120,0
11896,2,-1.4574376,1.0814639,29,57,3.5289278,1,120,1
12150,2,-1.9067485,-.084294781,33,57,2.9225345,1,150,1
12306,0,-.94168812,-.89031291,24,56,3.4949443,0,180,0
12350,2,.69662958,.9387157,29,56,4.3548565,1,180,1
12426,0,-3.0309365,-.69657344,30,56,2.8134468,0,60,1
12896,0,.21159399,.34794605,26,54,4.3952889,0,150,1
12974,1,.39157498,.046489317,22,54,3.8363302,0,20,0
13056,2,-1.0477072,-1.8717821,28,54,2.136348,0,60,0
13118,2,-1.7530164,-.69761181,22,54,2.8010588,0,125,0
13484,2,-1.4217312,-.16431208,25,53,2.7452157,0,90,0
13486,2,-2.1783602,-2.3465269,23,53,2.3599699,0,10,0
13530,1,-.047276225,-.211109,29,53,2.9978867,0,100,0
13574,1,2.205483,1.4744812,30,53,4.1970549,1,190,1
13710,0,.037181843,.34256855,30,52,3.8624947,1,120,1
13980,0,.73175788,.7973299,28,51,4.4680867,0,120,0
14048,1,.29285932,.59494865,28,51,3.6995213,1,180,1
14220,0,.65415722,.85970801,28,51,2.7996411,1,240,1
14266,2,-.29927182,.1682355,26,51,3.0967278,0,60,1
14374,0,-.090554394,-.050977934,28,50,3.3623633,0,2.5,0
14382,0,.95681667,.66237736,26,50,5.1260633,1,190,1
14384,0,.22371207,.032493778,32,50,3.6653888,0,180,0
14522,1,-.77942199,-.96803975,29,50,3.4024889,0,40,0
14528,1,.76418632,.24274956,28,50,2.6626198,1,65,1
14532,1,.53640419,.25117934,26,50,2.9423811,0,120,0
14556,0,1.1533629,1.0712498,26,50,3.7961645,1,120,1
14678,1,.14900902,-1.0820868,26,50,3.7973533,0,60,1
14682,2,-.68861347,-.76727194,23,50,3.9770288,0,80,0
14724,2,1.0039923,1.8759282,24,50,5.9590802,0,30,0
14926,2,.63863313,.967318,28,50,4.9257622,0,20,0
15294,1,1.085644,.57131052,25,49,3.7159467,0,80,0
15444,0,-.059380807,.088463545,27,49,3.27178,0,120,1
15452,2,.14185564,-.098787718,26,49,2.6629901,0,30,0
15704,2,-.071489662,-.31261006,27,48,2.8402689,0,150,1
15862,2,-1.2787908,-1.200807,26,48,3.8316634,0,80,0
16104,2,-1.6448456,-.54745781,28,44.5,3.7076747,0,120,1
16334,0,-.64249092,.91783959,30,47,3.4295022,1,240,1
16422,0,-1.6274393,-.71160841,29,47,2.2396276,1,90,1
16424,0,-.56469876,.050123475,22,47,3.1301768,0,180,0
16514,1,.11748827,-.23630759,28,47,2.3920667,0,70,0
16518,2,-.59215391,1.2951542,27,47,3.2689991,0,180,0
16594,0,.2002901,.71361494,29,47,3.6042979,1,160,1
16596,1,.66911739,1.1186299,34,47,4.7260346,1,40,1
16654,2,-.53165746,-.28463697,29,47,2.6660111,1,90,1
16806,2,-1.5009439,-.83374941,28,46,2.4147966,1,120,1
16812,2,-.12155089,-.31947276,24,46,3.0640123,0,80,0
17014,2,-1.5698314,.10700614,27,46,4.1354113,0,120,0
17058,0,-.7340892,-.9042781,23,46,2.6229999,0,140,0
17160,0,.30912352,.46139476,27,46,3.3902433,1,180,1
17166,2,.27238262,.0047287717,27,46,4.1173334,0,180,0
17172,0,-.69071811,.40110621,28,46,4.6419311,0,240,0
17274,2,-.13202278,.4577381,26,46,3.1348279,1,120,1
17386,2,-1.2060754,-.97297597,23,45,2.3342412,1,120,1
17668,2,-1.31467,-1.0365653,23,45,3.9913411,0,40,0
17714,2,-.95325071,-.11233142,29,45,2.8260889,1,40,1
17722,1,-1.2853856,-1.0573406,24,45,4.1951799,0,120,0
17752,1,.35670224,.4628152,25,45,3.5489633,0,60,0
17812,0,-.40717357,-.19020593,28,45,4.7051601,1,150,1
17906,1,.26825309,-.78147089,27,45,2.5038145,0,210,1
17908,2,-1.4310712,-1.3649949,27,45,3.1488588,1,105,1
17926,2,-.56885934,.39307117,25,45,4.0380645,0,20,0
18112,1,.38036275,-.061767481,27,44,2.7862556,0,120,0
18494,0,-.40341794,-.50067818,31,44,3.2129254,0,180,0
18502,0,-.29144666,-.72984731,26,44,2.3131669,0,210,1
18634,2,.10863324,.14837559,23,43,3.4158845,0,120,0
18776,2,1.5154481,1.0395719,22,43,4.1839623,0,60,0
18786,2,-.73010838,-.34898311,27,43,2.2973602,0,90,1
19012,2,-.47128451,-.010320373,27,43,1.8491844,1,90,1
19028,2,.34989443,.92267793,23,43,3.5295444,0,120,0
19140,2,.80873179,-.026746901,23,42,3.1589513,0,30,0
19144,2,-1.0510818,.5226723,20,42,3.8351867,0,30,0
19146,2,-.42737731,.64487404,21,42,3.3134155,0,80,0
19266,2,.81296253,.79221594,22,42,4.0709419,0,65,0
19470,0,.51122117,.011098285,25,42,3.5001233,0,60,0
19482,1,-.95363635,-.071804918,23,42,2.7133322,0,180,0
19684,0,-.61138296,-.35024676,22,41,2.7337523,0,180,0
20386,2,-.73579013,.43444785,26,39,2.953568,0,70,1
21068,2,.74477136,1.1596433,25,38,3.7650187,0,60,0
21126,2,-1.3837925,-.53353733,25,38,2.4348133,0,120,0
21142,2,-1.6465424,-.29963693,25,38,3.663141,0,130,1
21472,2,-.77152473,.38777176,24,37,2.5875034,0,70,0
21474,2,-.36275116,-.26747805,25,37,2.7566977,0,100,0
21604,0,.059159901,-.14736283,24,37,3.0380278,0,200,0
21614,2,-.64923447,-.28268334,25,37,2.9098122,0,110,0
21622,2,-.3565692,.082909234,25,37,3.3491721,0,30,1
21648,0,-.87316746,-.57803303,26,37,2.6443167,1,75,1
21654,1,.85732853,.62046653,29,37,4.1014285,0,80,0
21710,1,-.7477656,-.46703142,30,37,2.6169801,0,90,1
21746,2,-.3193579,.043703545,21,37,2.8369355,0,90,0
22022,0,-.71328473,.61049986,22,36,3.4560156,0,120,0
22130,2,-1.5486679,-.86473614,25,36,2.5165932,0,80,0
22140,2,-1.3623704,-1.1721945,25,36,3.8671577,0,40,1
22284,1,.50563526,.62982976,21,36,3.4786634,1,45,1
22290,2,-.42184621,-.39368215,26,36,2.72949,1,80,1
22456,2,-.60372698,.34570426,21,36,3.5803354,0,60,0
22706,2,.56267262,.44474384,26,36,3.2608311,0,60,1
22878,2,-.2709654,-.46901467,27,35,2.5484579,0,120,0
23126,0,.64812505,1.1817473,23,35,4.2542796,0,95,0
23136,1,-.17407422,.12801115,22,35,3.1753633,0,60,0
23228,1,1.2161572,.87539351,23,35,3.9816256,0,40,1
23516,2,-.29124084,-.21368292,24,35,3.3576355,0,60,0
23622,1,1.5713433,1.3078856,25,35,4.1304722,0,120,0
23686,2,-.24620004,-.39887717,20,35,2.8571634,0,180,0
23742,0,-.75048006,-.630301,21,35,2.5448833,0,240,0
23772,1,-.042336151,-.40484375,21,35,3.6291912,0,40,0
24142,1,1.4030797,1.1921102,29,34,4.9450345,0,180,0
24146,0,-1.0754538,-.66670072,24,34,3.2050078,0,150,0
24322,2,-1.251853,-1.4208547,23,34,3.5393789,0,30,0
24324,1,-1.286516,-.27646011,23,34,2.5267766,0,35,0
24328,2,-.5966565,.32074082,24,34,3.0627234,0,40,0
24340,2,-1.2415035,.44810531,23,34,3.5642712,0,40,0
24608,1,-.32827559,-.62254584,34,34,3.8289921,1,20,1
25056,0,-.21629551,-.2744104,23,33,2.8689067,0,40,0
25074,2,-1.2272005,.35808685,21,33,3.7054734,0,30,0
25084,2,-1.6563666,-1.7056861,24,33,2.0531211,0,90,0
25094,2,-.24372138,-.40017989,25,33,3.0681798,0,140,0
25258,0,-.19756317,-.13678674,26,33,3.4368823,0,120,0
25520,1,-.7363379,-.76568514,24,32,3.6391969,0,60,0
25532,1,-.34203726,-.44592518,25,32,3.3970912,0,180,0
25620,2,-1.0874932,-.56090474,23,32,2.8754656,0,90,0
25622,2,-.24733199,.062071014,20,32,2.8584857,0,80,0
25628,1,.98725742,.70293033,24,32,3.0696712,0,120,0
25638,1,-.11875881,.044456609,26,32,2.7953246,0,120,0
25700,1,-.7827912,-.7591874,27,32,3.1886568,0,30,0
25864,0,.7863248,.53227252,20,31,4.3348713,0,40,0
25940,1,-.68818724,.52405357,24,31,3.5226889,0,100,1
25962,1,-.32238331,-.23957241,24,31,3.6365478,1,80,1
26328,1,-1.045475,-1.2317928,22,31,3.6299655,0,30,0
26618,1,-1.0995302,-.78081286,24,30,3.6763389,0,40,0
26634,0,-.040162601,.41352496,26,30,2.8049321,0,60,0
26906,0,-1.1636821,.0094088716,24,30,3.2975867,0,40,0
26934,1,.75511724,.34132719,24,30,3.4246302,0,120,0
27180,2,-.19891565,.79352915,23,29,3.6185167,0,80,1
27234,2,.86512506,1.1949934,24,29,3.5235732,0,60,0
27540,2,-1.3426915,-1.50455,27,29,3.0060413,0,90,0
27704,0,.24592848,.42826033,26,28,2.6993911,0,30,0
27772,2,.89784259,-.24208914,24,28,3.3379233,0,100,0
27844,2,-1.3579067,-1.1490374,25,28,4.1549602,0,30,0
28190,0,-.31928149,.085549563,25,27,2.9674811,0,60,0
28204,2,-.55526429,.44121015,22,27,2.4714944,0,180,0
28224,0,-.055397976,.10593522,27,27,3.1292701,1,30,1
28226,1,-.85774118,-.97182977,23,27,2.3416898,0,120,0
28470,1,.4146339,-.55329293,24,27,3.0680244,0,60,0
28484,0,.063823856,.12908998,23,27,2.09901,1,120,1
28492,1,-1.1527623,-.92371774,24,27,4.2266932,0,40,0
28528,2,.49685588,.81558359,27,27,4.6637621,1,30,1
28560,0,-1.4216137,.10675242,20,27,2.9997089,0,160,0
28656,2,-1.2852476,-.5951643,23,26,2.2167034,0,120,1
29012,2,-1.0168248,-.60245162,20,26,1.2744288,0,40,0
29024,0,-1.3520305,-.7358923,26,26,2.5902634,0,160,0
29030,2,-.63500774,.12247834,28,26,2.4293523,0,180,0
29032,1,-.81309962,-.38984469,23,26,2.6952755,0,120,0
29172,0,.50792253,.634947,26,26,2.8963332,0,180,0
29192,2,.70516866,.69646132,29,26,3.8379033,0,120,0
29216,1,-.73279583,.40302351,26,26,2.9735067,0,50,0
29218,2,.070697851,.64942729,24,26,3.4329321,0,30,0
