wave,id,risk,offer_rate,photo_female,photo_none,intshown,suggest_use,special_offer,applied
1,1,High,9.69,0,0,1,0,1,0
1,2,High,3.25,0,0,0,1,1,0
1,3,High,4.44,1,0,1,0,1,0
1,4,High,9,0,0,1,1,1,0
1,5,High,9.75,1,0,0,1,1,0
1,6,High,11.75,1,0,1,1,1,0
1,7,Low,4.44,0,0,0,1,1,0
1,8,Medium,3.25,0,1,1,1,1,0
1,9,High,9.49,0,0,1,1,1,0
1,10,High,4.99,0,1,1,1,1,0
1,11,Low,3.99,1,0,0,0,1,0
1,12,Low,5.49,1,0,0,1,1,0
1,13,High,9,0,0,1,1,1,0
1,14,High,8.880000000000001,0,0,1,1,1,0
1,15,Low,5.55,0,0,1,1,1,0
1,16,Low,7.49,0,0,1,1,1,1
1,17,High,9.75,1,0,1,1,1,0
1,18,High,11.69,0,1,1,1,1,0
1,19,High,10.25,0,0,1,1,1,0
1,20,High,10.99,0,0,0,1,1,0
1,21,High,7.77,0,0,0,1,1,0
1,22,High,11.11,0,1,1,1,1,0
1,23,High,7.5,1,0,1,1,1,0
1,24,High,3.5,0,0,0,1,1,0
1,25,Low,6.75,1,0,1,1,1,1
1,26,High,6.5,0,1,1,1,1,0
1,27,Medium,7.75,0,0,1,1,1,0
1,28,High,9,0,0,0,1,1,0
1,29,Low,7.75,1,0,0,1,1,0
1,30,Low,3.99,0,1,1,0,1,0
1,31,Low,6.99,0,0,1,1,1,1
1,32,High,3.99,0,1,1,1,1,0
1,33,High,3.5,1,0,1,1,1,0
1,34,Low,6.75,1,0,1,1,1,0
1,35,High,9.69,1,0,1,1,1,0
1,36,Low,5.49,0,0,1,1,1,0
1,37,High,9.69,0,0,0,0,1,0
1,38,Medium,9.49,0,1,1,1,1,0
1,39,High,9.99,0,1,1,1,1,1
1,40,High,11.11,1,0,1,1,1,0
1,41,High,10.49,1,0,1,1,1,0
1,42,High,11.11,1,0,1,1,1,1
1,43,Low,6,1,0,1,1,1,0
1,44,Low,6.5,0,0,1,1,1,0
1,45,Low,3.5,0,0,1,1,1,0
1,46,High,8.99,0,1,1,1,1,0
1,47,Low,5.99,0,0,1,1,1,0
1,48,High,7.75,0,0,1,1,1,0
1,49,High,10.5,0,1,1,1,1,0
1,50,High,10,1,0,1,1,1,0
1,51,High,10.99,1,0,1,1,1,0
1,52,High,6.75,0,0,1,1,1,0
1,53,High,3.99,1,0,1,1,1,0
1,54,Low,4.5,1,0,1,1,1,0
1,55,Low,7.49,0,0,1,1,1,0
1,56,High,10.49,1,0,0,1,1,0
1,57,High,3.99,0,0,1,0,1,0
1,58,Low,4.99,0,0,1,1,1,0
1,59,High,11.19,0,0,1,1,1,0
1,60,Low,7,1,0,1,1,1,0
1,61,High,5.49,1,0,1,1,1,0
1,62,Low,7.49,0,0,1,1,1,0
1,63,High,5.49,0,0,1,1,1,0
1,64,Low,6.5,0,0,0,1,1,1
1,65,Low,5.49,0,0,1,0,1,0
1,66,Medium,4.5,0,0,0,1,1,0
1,67,High,8,0,0,1,0,1,0
1,68,Medium,6.99,0,1,1,1,1,1
1,69,High,5.49,0,0,0,1,1,0
1,70,High,11.69,1,0,0,1,1,0
1,71,High,7.49,1,0,1,1,1,1
1,72,Medium,7.25,1,0,1,1,1,0
1,73,High,7.99,0,0,1,1,1,0
1,74,High,3.25,0,1,1,1,1,0
1,75,Medium,9.69,0,0,1,0,1,0
1,76,Low,4.99,0,0,1,1,1,0
1,77,High,7.5,1,0,1,0,1,0
1,78,High,11.11,1,0,1,1,1,0
1,79,High,7.75,0,0,1,1,1,0
1,80,Medium,3.25,0,0,0,0,1,0
1,81,Low,6,1,0,1,1,1,1
1,82,High,3.5,0,0,1,1,1,0
1,83,High,9.25,0,0,1,1,1,0
1,84,High,8,0,0,0,1,1,0
1,85,High,3.49,1,0,1,0,1,0
1,86,Low,7.25,0,0,0,1,1,0
1,87,High,7.25,1,0,1,1,1,1
1,88,Low,7.5,1,0,1,1,1,0
1,89,High,11,1,0,0,1,1,0
1,90,Medium,4.44,1,0,1,1,1,0
1,91,Low,6.75,1,0,0,1,1,0
1,92,Medium,3.49,0,1,1,0,1,0
1,93,Low,6.5,1,0,1,1,1,0
1,94,High,11.75,0,1,1,1,1,0
1,95,High,9.49,0,0,1,1,1,0
1,96,Low,3.25,0,0,1,1,1,0
1,97,Low,6,0,0,1,1,1,0
1,98,Low,7.5,0,1,1,1,1,1
1,99,Low,5,1,0,1,1,1,0
1,100,Medium,8,0,1,0,1,1,1
1,101,High,5.5,0,1,0,1,1,0
1,102,High,5.99,1,0,0,1,1,0
1,103,High,3.49,0,0,1,1,1,0
1,104,High,9.99,0,1,1,1,1,0
1,105,Low,4.99,0,1,1,1,1,0
1,106,High,8.5,1,0,1,1,1,0
1,107,Medium,9.49,1,0,1,1,1,1
1,108,High,10.25,0,1,1,0,1,0
1,109,High,9.69,1,0,1,1,1,0
1,110,Low,4.44,0,1,1,1,1,0
1,111,High,10.5,1,0,1,0,1,0
1,112,High,6.75,0,0,1,1,1,0
1,113,High,11.19,1,0,1,1,1,0
1,114,High,11.69,0,0,1,1,1,0
1,115,High,8.99,0,1,1,1,1,0
1,116,High,11.19,0,1,1,1,1,0
1,117,High,10.25,0,1,0,1,1,0
1,118,High,10,1,0,1,1,1,0
1,119,High,9.25,1,0,1,1,1,0
1,120,High,10.99,0,0,1,1,1,0
1,121,High,5.55,0,1,1,1,1,0
1,122,Low,7.25,0,1,1,1,1,0
1,123,High,9.49,0,1,1,1,1,0
1,124,High,5.99,0,0,1,1,1,0
1,125,High,8.99,0,1,1,1,1,0
1,126,High,10.99,0,1,1,1,1,0
1,127,High,9.49,1,0,1,1,1,0
1,128,High,8.5,1,0,1,1,1,0
1,129,High,8,1,0,0,1,1,0
1,130,High,6,0,0,0,0,1,0
1,131,High,7.99,1,0,1,0,1,0
1,132,High,3.49,0,0,1,1,1,0
1,133,High,9.49,0,1,1,1,1,0
1,134,High,9.99,1,0,1,1,1,0
1,135,Medium,7.99,0,1,1,0,1,0
1,136,High,7.5,0,0,1,1,1,0
1,137,High,6.99,0,0,1,1,1,0
1,138,Low,6.5,0,1,1,1,1,0
1,139,High,11.19,0,0,1,1,1,0
1,140,Low,4.49,0,0,1,1,1,1
1,141,Medium,8.99,1,0,1,1,1,0
1,142,Low,5.49,0,1,1,1,1,1
1,143,High,9.75,0,0,1,1,1,0
1,144,High,9.99,0,0,1,0,1,0
1,145,High,5.49,1,0,0,1,1,0
1,146,High,5,0,0,1,1,1,0
1,147,High,10.5,1,0,1,0,1,0
1,148,High,11.69,1,0,1,0,1,0
1,149,High,6.75,0,1,1,1,1,0
1,150,High,7.25,0,1,0,0,1,0
1,151,High,4.44,0,0,1,1,1,0
1,152,High,11.11,0,0,0,1,1,0
1,153,High,7.5,1,0,1,1,1,1
1,154,High,8.99,1,0,1,1,1,0
1,155,Low,3.5,0,0,1,1,1,1
1,156,High,11.19,1,0,1,1,1,0
1,157,High,8.19,0,0,1,1,1,0
1,158,Medium,8.5,0,0,0,1,1,0
1,159,High,5.49,1,0,1,1,1,0
1,160,High,7.77,0,0,0,0,1,0
1,161,High,3.99,0,1,1,1,1,0
1,162,Medium,7.75,1,0,1,1,1,0
1,163,High,10.99,1,0,1,1,1,0
1,164,High,11.75,1,0,1,0,1,0
1,165,Low,6.99,0,1,1,0,1,1
1,166,High,8.5,1,0,1,1,1,0
1,167,High,9.69,1,0,1,0,1,0
1,168,High,6,1,0,1,1,1,0
1,169,High,6.5,0,1,1,1,1,0
1,170,High,11.19,0,0,1,1,1,0
1,171,High,10.99,1,0,1,0,1,0
1,172,Low,7.49,1,0,1,1,1,0
1,173,High,9.99,1,0,1,1,1,0
1,174,High,5.55,0,0,1,1,1,0
1,175,High,3.25,1,0,0,0,1,1
1,176,High,8.19,0,0,0,1,1,0
1,177,Low,6.5,1,0,0,1,1,1
1,178,High,8.19,0,1,1,1,1,0
1,179,High,11,0,1,1,1,1,0
1,180,High,10,0,1,1,1,1,0
1,181,Low,7.75,1,0,1,1,1,0
1,182,Medium,6.5,0,1,1,1,1,0
1,183,High,9.69,0,0,1,1,1,0
1,184,High,8.5,1,0,0,0,1,0
1,185,High,7.77,1,0,1,1,1,0
1,186,High,11,1,0,1,0,1,0
1,187,High,4,1,0,1,1,1,0
1,188,Medium,7.77,1,0,1,1,1,1
1,189,High,8.99,0,0,1,1,1,0
1,190,Low,5.55,0,0,0,1,1,0
1,191,High,9,0,0,1,1,1,0
1,192,High,9,1,0,0,1,1,0
1,193,High,8.5,0,0,1,1,1,0
1,194,High,11.19,0,0,0,0,1,0
1,195,High,10,0,0,1,1,1,0
1,196,High,10.49,0,0,0,0,1,0
1,197,High,5.99,1,0,1,1,1,0
1,198,High,9.25,0,0,1,1,1,0
1,199,High,9.75,1,0,0,1,1,0
1,200,Low,4.99,0,0,1,1,1,0
1,201,Medium,7.49,1,0,0,0,1,0
1,202,Medium,6.99,1,0,1,1,1,0
1,203,High,4,0,0,1,1,1,0
1,204,High,8.5,0,1,1,1,1,0
1,205,Low,5,1,0,1,1,1,0
1,206,High,3.5,0,0,1,1,1,0
1,207,Low,5.49,0,0,1,1,1,0
1,208,Low,6.99,1,0,1,1,1,0
1,209,Low,7.25,1,0,0,1,1,0
1,210,High,10.25,1,0,1,1,1,0
1,211,Low,3.49,0,1,1,1,1,0
1,212,High,10,0,0,1,1,1,0
1,213,High,3.25,0,0,1,1,1,0
1,214,High,8.99,0,0,1,1,1,0
1,215,Low,6.5,0,0,1,1,1,0
1,216,High,6,0,1,1,1,1,1
1,217,High,10.99,1,0,0,1,1,0
1,218,Low,3.49,1,0,1,1,1,1
2,219,Low,5,1,0,1,1,1,0
1,220,Low,3.5,1,0,1,0,1,0
1,221,High,7,0,0,1,0,1,0
1,222,High,11.75,0,0,1,1,1,0
1,223,High,10.99,0,0,1,1,1,1
1,224,High,3.99,0,1,0,1,1,0
1,225,High,7.77,1,0,1,0,1,0
1,226,High,7.25,0,0,1,0,1,0
1,227,Low,3.49,1,0,1,0,1,0
1,228,High,11,1,0,1,1,1,0
1,229,Low,5.49,0,0,1,0,1,0
2,230,High,11.75,0,0,0,1,1,0
1,231,High,4.5,1,0,1,0,1,0
1,232,Low,5.99,1,0,1,1,1,0
1,233,Low,7.49,0,0,1,1,1,0
1,234,High,7.49,0,0,1,1,1,0
1,235,High,8.5,1,0,1,1,1,0
1,236,High,11.75,1,0,1,1,1,1
1,237,High,6.99,1,0,1,1,1,0
1,238,High,10.5,1,0,1,1,1,0
1,239,Low,5,0,0,1,1,1,0
1,240,High,9.75,1,0,1,0,1,0
1,241,High,6.5,0,0,1,1,1,0
1,242,High,11,1,0,0,1,1,0
1,243,Low,5.99,0,0,1,1,1,1
1,244,High,5.5,1,0,0,0,1,0
1,245,High,5.49,1,0,1,1,1,0
1,246,High,9,1,0,1,1,1,0
1,247,High,3.99,1,0,1,1,1,0
1,248,Low,4.49,0,0,1,1,1,1
1,249,High,10.49,0,0,1,1,1,0
1,250,Medium,6,0,0,0,1,1,0
1,251,High,6,0,0,1,1,1,0
1,252,High,10.5,1,0,1,1,1,0
1,253,High,8.880000000000001,1,0,0,1,1,0
1,254,Medium,6.5,0,0,1,1,1,1
1,255,Low,5.49,0,0,1,1,1,0
1,256,Low,7.5,1,0,0,1,1,0
1,257,High,11.69,0,0,0,1,1,0
1,258,High,8.880000000000001,0,0,1,0,1,0
1,259,Medium,7.49,1,0,0,1,1,0
1,260,High,10.25,0,0,1,1,1,0
1,261,Low,7.49,0,0,0,1,1,0
1,262,Low,3.99,0,0,1,1,1,0
1,263,High,7.75,0,1,0,1,1,0
1,264,High,7.99,1,0,1,1,1,0
1,265,High,6.99,0,0,1,1,1,0
1,266,Low,4.49,0,1,1,1,1,0
1,267,High,9,0,0,1,1,1,0
1,268,High,11.11,1,0,1,1,1,0
1,269,High,5.49,1,0,1,1,1,0
1,270,High,7.5,1,0,1,1,1,0
1,271,High,5.5,0,0,1,1,1,0
1,272,High,7.5,0,0,0,1,1,0
1,273,High,11.19,0,0,1,1,1,0
1,274,High,9.99,1,0,1,1,1,0
1,275,High,9.49,1,0,1,1,1,0
1,276,High,8.5,1,0,1,1,1,1
1,277,Medium,9.49,1,0,1,0,1,0
1,278,High,4.99,1,0,1,1,1,0
1,279,Low,7.49,0,1,1,1,1,0
1,280,High,11.75,0,0,1,1,1,0
1,281,High,9.49,0,0,1,1,1,0
1,282,High,6.99,0,0,1,1,1,0
1,283,High,8.5,0,0,1,1,1,0
1,284,Low,6,0,1,1,1,1,0
1,285,High,6,0,0,0,1,1,0
1,286,Low,6.5,1,0,1,1,1,0
1,287,Low,7.75,0,0,1,1,1,0
1,288,High,7.99,0,0,1,1,1,0
1,289,High,7.49,1,0,1,1,1,0
1,290,Low,7.49,0,0,1,1,1,0
1,291,High,11.11,1,0,1,1,1,0
1,292,Medium,7.5,1,0,1,1,1,0
1,293,Low,7.75,0,0,1,1,1,0
1,294,High,11.11,0,0,1,1,1,1
1,295,High,10.25,1,0,1,1,1,0
1,296,Low,5.99,0,0,1,1,1,0
1,297,High,10,1,0,1,1,1,0
1,298,High,8.19,1,0,1,1,1,0
1,299,High,11.69,1,0,1,1,1,0
1,300,High,10.49,1,0,0,0,1,0
1,301,High,3.99,0,0,1,1,1,0
