hometype,price,beds,baths,neighborhood,sqft,age
Condo/Co-op,870000,1,1.5,Yerba Buena,847,17
Condo/Co-op,779000,1,1,Haight Ashbury,753,92
Condo/Co-op,660000,1,1,Candlestick Point,814,17
Condo/Co-op,906000,1,1,South of Market,764,10
Condo/Co-op,910000,1,1,Inner Mission,823,4
Condo/Co-op,640000,1,1,Outer Richmond,742,36
Condo/Co-op,825000,1,1,Mission Bay,693,9
Condo/Co-op,595000,1,1,Telegraph Hill,470,111
Condo/Co-op,875000,1,1,Pacific Heights,765,43
Condo/Co-op,880000,1,2,Inner Mission,889,18
Condo/Co-op,950000,1,1,Inner Mission,817,9
Condo/Co-op,820000,1,1,Mission Dolores,1092,110
Condo/Co-op,865000,1,1,Cow Hollow,768,89
Condo/Co-op,800000,1,1.5,Potrero Hill,907,88
Condo/Co-op,600000,1,1,Cow Hollow,558,92
Condo/Co-op,830000,1,1,Hayes Valley,678,3
Condo/Co-op,849000,1,1,Hayes Valley,646,10
Condo/Co-op,460000,1,1,South of Market,480,107
Condo/Co-op,880000,1,1,South of Market,925,24
Condo/Co-op,750000,1,1,South of Market,776,21
Condo/Co-op,759000,1,1.5,South of Market,830,16
Condo/Co-op,895000,1,2,South of Market,1209,14
Condo/Co-op,945000,1,1.5,Jordan Park/Laurel Heights,925,10
Condo/Co-op,750000,1,1,Lower Pacific Height,667,110
Condo/Co-op,950000,1,1,Glen Park,918,111
Condo/Co-op,810000,1,1,Bernal Heights,953,38
Condo/Co-op,351601,1,1,Potrero Hill,690,11
Condo/Co-op,356589,1,1,Potrero Hill,535,11
Condo/Co-op,935000,1,1.5,South of Market,1220,21
Condo/Co-op,910000,1,1,Mission Bay,741,9
Condo/Co-op,950000,1,1,South Beach,1060,102
Condo/Co-op,755000,1,1,Mission Bay,715,14
Condo/Co-op,830000,1,1,Mission Bay,787,14
Condo/Co-op,890000,1,1,South Beach,709,14
Condo/Co-op,765000,1,1,South Beach,544,27
Condo/Co-op,835000,1,1,Russian Hill,570,53
Condo/Co-op,950000,1,2,Van Ness/Civic Center,824,10
Condo/Co-op,518000,1,1,Van Ness/Civic Center,556,36
Condo/Co-op,675000,1,1,Van Ness/Civic Center,724,36
Condo/Co-op,700000,1,1,Ingleside Heights,669,16
Condo/Co-op,300353,1,1,Lake,700,106
Condo/Co-op,886500,1,1,Potrero Hill,700,11
Condo/Co-op,930000,1,1.5,Central Waterfront,854,22
Condo/Co-op,770000,1,1,Mount Davidson Manor,831,33
Condo/Co-op,845000,1,1,Central Richmond,862,14
Condo/Co-op,610000,1,1,,543,69
Condo/Co-op,805000,1,1,Twin Peaks,735,57
Condo/Co-op,675000,1,1,Noe Valley,529,59
Condo/Co-op,800000,1,1,Twin Peaks,620,54
Condo/Co-op,678000,1,1,Anza Vista,605,93
Condo/Co-op,861000,1,1,Mission Dolores,662,35
Condo/Co-op,800000,1,1,Hayes Valley,518,111
Condo/Co-op,901000,1,1,Duboce Triangle,768,79
Condo/Co-op,738000,1,1,Downtown,682,36
Condo/Co-op,870000,1,1,Van Ness/Civic Center,989,98
Condo/Co-op,640000,1,1,Bayview,823,8
Condo/Co-op,913000,1,1,South Beach,797,14
Condo/Co-op,880000,1,1,Downtown,677,8
Condo/Co-op,685000,1,1,Downtown,552,109
Condo/Co-op,700000,1,1,Nob Hill,575,68
Condo/Co-op,885000,1,1,Nob Hill,756,43
Condo/Co-op,717000,1,1,Downtown,601,37
Condo/Co-op,735000,1,1,Nob Hill,642,106
Condo/Co-op,700000,1,1,Downtown,834,96
Condo/Co-op,249889,1,1,Downtown,613,11
